Player,Pos,Squad,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes
Player,Pos,Squad,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Alejandro Garnacho,MF,Manchester Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David de Gea,GK,Manchester Utd,3,79,48,31,6,0,7,1,0,0,0,0,0,28,2,49,3,62,0,0,8,44,0,4,2,0
Joe Gelhardt,FW,Leeds United,0.2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Saman Ghoddos,FW,Brentford,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Morgan Gibbs-White,FW,Wolves,2,97,90,7,2,0,10,4,4,4,0,3,0,65,19,13,4,83,6,1,1,76,0,1,2,5
Morgan Gibbs-White,MF,Nott'ham Forest,0.3,13,13,0,0,0,3,0,1,0,0,0,0,7,1,5,1,9,2,0,1,9,0,1,0,1
Ben Godfrey,DF,Everton,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,3,0,1,0,0
Joe Gomez,DF,Liverpool,1.3,140,138,2,2,0,10,2,0,0,0,0,0,114,12,14,11,119,6,0,0,130,0,1,2,1
Anthony Gordon,FW,Everton,3,64,58,6,0,0,12,2,2,2,2,0,0,50,6,8,3,58,0,1,1,45,0,0,3,5
Demarai Gray,FW,Everton,2.9,88,64,24,10,0,18,7,9,10,8,1,0,52,9,27,4,79,2,1,0,57,0,3,2,3
Jack Grealish,FW,Manchester City,1.5,96,95,1,0,0,10,2,4,1,1,0,0,77,7,12,5,90,1,0,0,85,0,0,0,1
Sam Greenwood,MFFW,Leeds United,0.3,11,9,2,1,0,1,2,1,1,0,1,0,7,0,4,2,9,0,0,0,6,0,1,1,0
Pascal Groß,MFDF,Brighton,3,126,110,16,3,0,16,7,9,10,4,6,0,74,20,32,22,100,2,1,0,87,0,1,4,7
Vicente Guaita,GK,Crystal Palace,3,100,68,32,6,0,9,4,0,0,0,0,0,53,6,41,8,72,0,0,15,85,0,2,0,0
Gonçalo Guedes,FW,Wolves,1.3,33,31,2,0,0,5,3,3,1,0,0,1,29,2,2,1,32,0,0,0,27,0,0,2,1
Marc Guéhi,DF,Crystal Palace,3,183,180,3,3,0,21,3,0,0,0,0,0,144,7,32,33,135,9,0,0,159,0,2,2,1
Bruno Guimarães,MF,Newcastle Utd,3,133,129,4,3,0,15,3,1,0,0,0,0,101,10,22,3,122,4,1,2,113,0,1,3,4
İlkay Gündoğan,MF,Manchester City,2.6,150,148,2,1,4,14,4,4,1,0,0,0,125,13,12,43,101,2,0,2,134,0,0,5,2
Erling Haaland,FW,Manchester City,2.7,44,38,6,0,1,4,0,0,0,0,0,0,34,7,3,37,4,3,0,0,36,2,0,3,0
Jack Harrison,FW,Leeds United,2.8,101,89,12,5,0,12,7,10,7,3,3,1,59,15,27,78,20,1,0,1,63,1,2,8,2
Kai Havertz,FWMF,Chelsea,2.8,69,66,3,1,0,22,0,4,0,0,0,0,52,8,9,40,18,2,1,0,55,1,1,2,1
Hwang Hee-chan,FW,Wolves,1.7,33,32,1,0,1,4,0,4,0,0,0,0,25,3,5,4,27,2,0,0,26,0,1,1,1
Dean Henderson,GK,Nott'ham Forest,3,135,90,45,12,0,9,4,0,0,0,0,0,44,8,83,14,85,1,0,27,72,0,8,3,0
Jordan Henderson,MF,Liverpool,2,142,138,4,2,1,17,5,4,0,0,0,0,88,17,37,25,106,8,1,0,111,1,2,5,2
Rico Henry,DF,Brentford,3,104,84,20,0,0,10,1,5,0,0,0,0,52,23,29,70,7,5,20,0,74,2,2,7,1
Son Heung-min,MFFW,Tottenham,2.7,78,59,19,3,0,7,5,3,16,5,7,1,54,5,19,9,68,0,0,0,53,1,3,3,3
Aaron Hickey,DF,Brentford,2.4,86,75,11,2,0,8,1,1,0,0,0,0,64,6,16,27,48,2,9,0,70,0,0,4,3
Pierre Højbjerg,MF,Tottenham,3,175,172,3,2,2,22,8,0,0,0,0,0,143,8,24,20,150,3,0,2,157,1,3,7,1
Mason Holgate,DF,Everton,2.8,117,110,7,4,0,6,8,0,0,0,0,0,67,9,41,17,83,11,3,0,83,1,3,4,2
Will Hughes,MF,Crystal Palace,0.3,16,16,0,0,0,1,1,1,0,0,0,0,12,2,2,15,1,0,0,0,12,0,0,0,2
