,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Player,Pos,Squad,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Christian Eriksen,MFFW,Manchester Utd,2.9,193,7,37,107,59,7,175,1,1,100,1,0,123,407,162,10,6,0,2,2,145,133,91.7,8
Pervis Estupiñán,DF,Brighton,0.3,17,3,3,6,10,2,16,0,0,,0,0,12,89,65,4,2,0,1,1,14,12,85.7,1
Jonny Evans,DF,Leicester City,3,231,29,112,124,2,0,228,0,0,,0,0,166,547,253,2,0,0,0,0,176,176,100,0
Eberechi Eze,MFFW,Crystal Palace,2.8,158,1,37,79,52,9,138,9,14,64.3,9,1,114,549,342,16,5,5,7,10,125,101,80.8,7
Łukasz Fabiański,GK,West Ham,2.3,74,67,73,1,0,0,56,0,0,,0,0,41,248,173,0,0,0,0,0,28,28,100,0
Fabinho,MF,Liverpool,2,196,4,34,141,29,4,192,0,1,0,0,0,135,502,247,12,2,0,1,3,149,147,98.7,4
Bruno Fernandes,MF,Manchester Utd,3,196,8,29,86,94,9,187,1,2,50,2,1,142,456,271,12,7,1,0,6,161,134,83.2,19
Roberto Firmino,FW,Liverpool,1.6,102,2,13,62,32,11,99,0,1,0,1,0,77,131,64,4,3,0,6,4,109,79,72.5,9
Phil Foden,FW,Manchester City,2.5,173,1,8,75,102,12,165,3,8,37.5,3,0,152,628,310,24,7,1,6,2,169,143,84.6,27
Wesley Fofana,DF,Leicester City,2,162,11,71,92,8,3,161,1,2,50,1,0,110,654,344,12,2,1,3,1,123,120,97.6,1
Pablo Fornals,MFFW,West Ham,2.4,125,2,16,71,45,3,119,1,1,100,1,0,84,364,151,8,2,0,4,3,101,87,86.1,12
Adam Forshaw,MF,Leeds United,0.4,14,0,2,11,1,0,14,0,0,,0,0,3,19,12,0,0,0,0,0,9,7,77.8,0
Tyrese Francois,FW,Fulham,0,4,0,1,1,2,0,4,0,0,,0,0,2,2,1,0,0,0,1,0,2,2,100,1
Ryan Fraser,FW,Newcastle Utd,0.1,5,0,0,3,3,0,5,0,0,,0,0,2,41,34,1,1,0,1,0,5,4,80,0
Fred,MF,Manchester Utd,1.3,98,4,26,52,23,2,97,0,0,,0,0,68,219,66,2,1,0,2,0,62,57,91.9,3
Conor Gallagher,MF,Chelsea,0.8,54,1,9,29,17,4,53,0,3,0,1,0,34,154,67,4,1,0,2,0,37,30,81.1,2
Alejandro Garnacho,MF,Manchester Utd,0,1,0,0,0,1,0,1,0,0,,0,0,1,0,0,0,0,0,1,0,2,1,50,0
David de Gea,GK,Manchester Utd,3,88,79,86,2,0,0,57,0,0,,0,0,33,110,68,0,0,0,0,0,33,33,100,0
