Player,Pos,Squad,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Player,Pos,Squad,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive▼,PassDead,Drib,Sh,Fld,Def
Gonçalo Guedes,FW,Wolves,1.3,7,5.58,3,1,1,1,1,0,0,0,0,0,0,0,0,0
Marc Guéhi,DF,Crystal Palace,3,4,1.33,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Bruno Guimarães,MF,Newcastle Utd,3,9,3.01,7,0,0,0,1,1,0,0,0,0,0,0,0,0
Dean Henderson,GK,Nott'ham Forest,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,MF,Liverpool,2,5,2.56,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Hickey,DF,Brentford,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Hughes,MF,Crystal Palace,0.3,1,3.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Iwobi,MF,Everton,3,13,4.33,11,0,2,0,0,0,0,0,0,0,0,0,0,0
Daniel James,FW,Leeds United,1.4,1,0.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Reece James,DF,Chelsea,3,9,3,5,3,0,1,0,0,0,0,0,0,0,0,0,0
Vitaly Janelt,MFDF,Brentford,1.7,6,3.6,2,0,2,1,0,1,0,0,0,0,0,0,0,0
Pontus Jansson,DF,Brentford,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raúl Jiménez,FW,Wolves,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Johnson,DF,West Ham,2.2,2,0.92,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Brennan Johnson,FW,Nott'ham Forest,3,2,0.67,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Jorginho,MF,Chelsea,2.5,5,2.01,5,0,0,0,0,0,0,0,0,0,0,0,0,0
James Justin,DF,Leicester City,3,2,0.67,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Boubacar Kamara,MF,Aston Villa,2.9,2,0.69,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Kane,FW,Tottenham,3,10,3.33,8,0,0,1,1,0,0,0,0,0,0,0,0,0
Thilo Kehrer,DF,West Ham,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Kilman,DF,Wolves,3,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Klich,MF,Leeds United,0.5,3,6.59,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Koch,DF,Leeds United,3,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ezri Konsa,DF,Aston Villa,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheikhou Kouyaté,MF,Nott'ham Forest,0.1,1,12.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Emil Krafth,DF,Newcastle Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Lallana,MF,Brighton,2.2,8,3.58,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Tariq Lamptey,DF,Brighton,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Lanzini,MFFW,West Ham,1,1,0.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Roméo Lavia,MF,Southampton,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Clément Lenglet,DF,Tottenham,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Leno,GK,Fulham,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Lerma,DFMF,Bournemouth,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rico Lewis,DF,Manchester City,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Llorente,DF,Leeds United,3,2,0.67,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Lloris,GK,Tottenham,3,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruben Loftus-Cheek,DFMF,Chelsea,2.3,9,3.93,4,0,3,1,1,0,0,0,0,0,0,0,0,0
Sean Longstaff,MF,Newcastle Utd,0.5,1,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Lowe,FW,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Luiz,MF,Aston Villa,0.3,4,13.33,2,1,0,1,0,0,0,0,0,0,0,0,0,0
Lyanco,MF,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Mac Allister,MF,Brighton,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Harry Maguire,DF,Manchester Utd,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrell Malacia,DF,Manchester Utd,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orel Mangala,MF,Nott'ham Forest,1.7,2,1.18,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Martínez,GK,Aston Villa,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lisandro Martínez,DF,Manchester Utd,2.5,2,0.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Jean-Philippe Mateta,FW,Crystal Palace,0.6,1,1.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Joël Matip,DF,Liverpool,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Mbeumo,FWDF,Brentford,2.8,5,1.79,2,3,0,0,0,0,1,0.36,0,1,0,0,0,0
John McGinn,MF,Aston Villa,2.8,5,1.79,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Scott McKenna,DF,Nott'ham Forest,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwight McNeil,FW,Everton,1.7,7,4.01,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Scott McTominay,MF,Manchester Utd,2.4,6,2.55,5,0,0,1,0,0,0,0,0,0,0,0,0,0
Ben Mee,DF,Brentford,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edouard Mendy,GK,Chelsea,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Mepham,DF,Bournemouth,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illan Meslier,GK,Leeds United,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Mighten,FW,Nott'ham Forest,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka Milivojević,MF,Crystal Palace,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yerry Mina,DF,Everton,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaoru Mitoma,DF,Brighton,0.2,3,15.88,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Kieffer Moore,FW,Bournemouth,3,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Mount,MFFW,Chelsea,2.6,7,2.74,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Moura,DFFW,Tottenham,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Moutinho,MF,Wolves,0.6,6,9.47,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Murphy,FW,Newcastle Utd,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enock Mwepu,MFFW,Brighton,0.5,2,3.83,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitaliy Mykolenko,DF,Everton,3,6,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0
