Player,Pos,Squad,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Player,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Cafú,MF,Nott'ham Forest,0.1,2,2,100,50,40,0,0,,1,1,100,1,1,100,0,0,0,0,1,0,0,1
Moisés Caicedo,MF,Brighton,3,103,122,84.4,1679,442,48,56,85.7,40,45,88.9,10,14,71.4,0,0.1,-0.1,3,8,3,1,5
Tom Cairney,MF,Fulham,0.2,12,16,75,287,117,4,5,80,5,6,83.3,3,5,60,0,0.1,-0.1,1,3,1,0,2
Chem Campbell,FW,Wolves,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
João Cancelo,DF,Manchester City,3,282,315,89.5,4973,1319,132,138,95.7,119,132,90.2,26,37,70.3,0,0.1,-0.1,2,30,5,0,31
Diego Carlos,DF,Aston Villa,2,102,123,82.9,2253,689,29,33,87.9,50,56,89.3,22,33,66.7,0,0,0,0,5,0,0,9
Fabio Carvalho,FWMF,Liverpool,0.5,17,18,94.4,271,55,9,9,100,4,4,100,3,3,100,0,0,0,0,1,0,0,2
Matty Cash,DF,Aston Villa,3,124,164,75.6,2098,696,60,67,89.6,50,61,82,10,24,41.7,0,0.2,-0.2,3,12,6,3,14
Timothy Castagne,DF,Leicester City,3,149,178,83.7,2123,734,110,116,94.8,28,33,84.8,9,21,42.9,0,0.1,-0.1,1,8,3,1,11
Jonny Castro,DF,Wolves,2.9,155,186,83.3,2625,718,78,81,96.3,57,67,85.1,16,26,61.5,0,0,0,0,8,1,0,7
Calum Chambers,DF,Aston Villa,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
